ticker,sector,aliases
BAPI,REALESTATE,BAPI|Bhakti Agung|Bhakti Agung Propertindo
BATA,SEPATU,BATA|Sepatu Bata
BATR,MATERIAL,BATR|Benteng Api|Benteng Api Technic
BAUT,RUMAHTANGGA,BAUT|Mitra Angkasa|Mitra Angkasa Sejahtera
BAYU,TRAVEL,BAYU|Bayu Buana
BBCA,BANK,BBCA|Bank Central|Bank Central Asia
BBHI,BANK,BBHI|Allo Bank|Allo Bank Indonesia
BBKP,BANK,BBKP|Bank Kb|Bank Kb Bukopin
BBLD,PEMBIAYAAN,BBLD|Buana Finance
BBMD,BANK,BBMD|Bank Mestika|Bank Mestika Dharma
BBNI,BANK,BBNI|Bank Negara|Bank Negara Indonesia
BBRI,BANK,BBRI|Bank Rakyat|Bank Rakyat Indonesia
BBRM,BATUBARA,BBRM|Pelayaran Nasional|Pelayaran Nasional Bina Buana Ray
BBSI,BANK,BBSI|Bank Bisnis|Bank Bisnis Internasional
BBSS,REALESTATE,BBSS|Bumi Benowo|Bumi Benowo Sukses Sejahtera
BBTN,BANK,BBTN|Bank Tabungan|Bank Tabungan Negara
BBYB,BANK,BBYB|Bank Neo|Bank Neo Commerce
BCAP,INVESTASI,BCAP|Mnc Kapital|Mnc Kapital Indonesia
BCIC,BANK,BCIC|Bank Jtrust|Bank Jtrust Indonesia
BCIP,REALESTATE,BCIP|Bumi Citra|Bumi Citra Permai
BDKR,KONSTRUKSI,BDKR|Berdikari Pondasi|Berdikari Pondasi Perkasa
BDMN,BANK,BDMN|Bank Danamon|Bank Danamon Indonesia
BEBS,MATERIAL,BEBS|Berkah Beton|Berkah Beton Sadaya
BEEF,MAKANAN,BEEF|Estika Tata|Estika Tata Tiara
BEER,BEER,BEER|Jobubu Jarum|Jobubu Jarum Minahasa
BEKS,BANK,BEKS|Bank Pembangunan|Bank Pembangunan Daerah Banten
BELI,INTERNET,BELI|Global Digital|Global Digital Niaga
BELL,TEKSTIL,BELL|Trisula Textile|Trisula Textile Industries
BESS,BATUBARA,BESS|Batulicin Nusantara|Batulicin Nusantara Maritim
BEST,REALESTATE,BEST|Bekasi Fajar|Bekasi Fajar Industrial Estate
BFIN,PEMBIAYAAN,BFIN|Bfi Finance|Bfi Finance Indonesia
BGTG,BANK,BGTG|Bank Ganesha
BHAT,ASURANSI,BHAT|Bhakti Multi|Bhakti Multi Artha
BHIT,MULTISEKTOR,BHIT|Mnc Investama
BIKA,REALESTATE,BIKA|Binakarya Jaya|Binakarya Jaya Abadi
BIKE,OLAHRAGA,BIKE|Sepeda Bersama|Sepeda Bersama Indonesia
BIMA,SEPATU,BIMA|Primarindo Asia|Primarindo Asia Infrastructure
BINA,BANK,BINA|Bank Ina|Bank Ina Perdana
BINO,KANTORAN,BINO|Perma Plasindo
BIPI,TAMBANG,BIPI|Astrindo Nusantara|Astrindo Nusantara Infrastruktur
BIPP,REALESTATE,BIPP|Bhuwanatala Indah|Bhuwanatala Indah Permai
BIRD,TRANSPORTASI,BIRD|Blue Bird
BISI,PANGAN,BISI|Bisi International
BJBR,BANK,BJBR|Bank Pmbngn|Bank Pmbngn Daerh Jawa Brt Dn Btn
BJTM,BANK,BJTM|Bank Pembangunan|Bank Pembangunan Daerah Jawa Timr
BKDP,REALESTATE,BKDP|Bukit Darmo|Bukit Darmo Property
BKSL,REALESTATE,BKSL|Sentul City
BKSW,BANK,BKSW|Bank Qnb|Bank Qnb Indonesia
BLES,MATERIAL,BLES|Superior Prima|Superior Prima Sukses
BLOG,LOGISTIK,BLOG|Trimitra Trans|Trimitra Trans Persada
BLTA,LOGISTIK,BLTA|Berlian Laju|Berlian Laju Tanker
BLTZ,REKREASI,BLTZ|Graha Layar|Graha Layar Prima
BLUE,KANTORAN,BLUE|Berkah Prima|Berkah Prima Perkasa
BMAS,BANK,BMAS|Bank Maspion|Bank Maspion Indonesia
BMBL,BIMBEL,BMBL|Lavender Bina|Lavender Bina Cendikia
BMHS,KESEHATAN,BMHS|Bundamedik
BMRI,BANK,BMRI|Bank Mandiri
BMSR,KIMIA,BMSR|Bintang Mitra|Bintang Mitra Semestaraya
BMTR,PERIKLANAN,BMTR|Global Mediacom
BNBA,BANK,BNBA|Bank Bumi|Bank Bumi Arta
BNBR,MULTISEKTOR,BNBR|Bakrie &|Bakrie & Brothers
