ticker,sector,aliases
IDPR,KONSTRUKSI,IDPR|Indonesia Pondasi|Indonesia Pondasi Raya
IFII,KAYU,IFII|Indonesia Fibreboard|Indonesia Fibreboard Industry
IFSH,TAMBANG,IFSH|Ifishdeco
IGAR,PLASTIK,IGAR|Champion Pacific|Champion Pacific Indonesia
IIKP,OLAHRAGA,IIKP|Inti Agri|Inti Agri Resources
IKAI,HOTEL,IKAI|Intikeramik Alamasri|Intikeramik Alamasri Industri
IKAN,BUDIDAYA,IKAN|Era Mandiri|Era Mandiri Cemerlang
IKBI,KABEL,IKBI|Sumi Indo|Sumi Indo Kabel
IKPM,FARMASI,IKPM|Ikapharmindo Putramas
IMAS,OTOMOTIF,IMAS|Indomobil Sukses|Indomobil Sukses Internasional
IMJS,PEMBIAYAAN,IMJS|Indomobil Multi|Indomobil Multi Jasa
IMPC,BANGUNAN,IMPC|Impack Pratama|Impack Pratama Industri
INAF,FARMASI,INAF|Indofarma
INAI,LOGAM,INAI|Indal Aluminium|Indal Aluminium Industry
INCF,HUTAN,INCF|Indo Komoditi|Indo Komoditi Korpora
INCI,KIMIA,INCI|Intanwijaya Internasional
INCO,TAMBANG,INCO|Vale Indonesia
INDF,MAKANAN,INDF|Indofood Sukses|Indofood Sukses Makmur
INDO,REALESTATE,INDO|Royalindo Investa|Royalindo Investa Wijaya
INDR,TEKSTIL,INDR|Indo-Rama Synthetics
INDS,OTOMOTIF,INDS|Indospring
INDX,KONSULTASI,INDX|Tanah Laut
INDY,BATUBARA,INDY|Indika Energi
INET,TELEKOMUNIKASI,INET|Sinergi Inti|Sinergi Inti Andalan Prima
INKP,KERTAS,INKP|Indah Kiat|Indah Kiat Pulp And Paper
INOV,TEKSTIL,INOV|Inocycle Teknologi|Inocycle Teknologi Group
INPC,BANK,INPC|Bank Artha|Bank Artha Graha Internasional
INPP,REALESTATE,INPP|Indonesian Paradise|Indonesian Paradise Property
INPS,TAMBANG,INPS|Indah Prakasa|Indah Prakasa Sentosa
INRU,KERTAS,INRU|Toba Pulp|Toba Pulp Lestari
INTA,MESINKONSTRUKSI,INTA|Intraco Penta
INTD,KERTAS,INTD|Inter Delta
INTP,MATERIAL,INTP|Indocement Tunggal|Indocement Tunggal Prakarsa
IOTF,ELEKTRONIK,IOTF|Sumber Sinergi|Sumber Sinergi Makmur
IPAC,REALESTATE,IPAC|Era Graharealty
IPCC,PELABUHAN,IPCC|Indonesia Kendaraan|Indonesia Kendaraan Terminal
IPCM,PELABUHAN,IPCM|Jasa Armada|Jasa Armada Indonesia
IPOL,PLASTIK,IPOL|Indopoly Swakarsa|Indopoly Swakarsa Industry
IPPE,PANGAN,IPPE|Indo Pureco|Indo Pureco Pratama
IPTV,PENYIARAN,IPTV|Mnc Vision|Mnc Vision Networks
IRRA,ALATKESEHATAN,IRRA|Itama Ranoraya
IRSX,SOFTWARE,IRSX|Aviana Sinar|Aviana Sinar Abadi
ISAP,OTOMOTIF,ISAP|Isra Presisi|Isra Presisi Indonesia
ISAT,TELEKOMUNIKASI,ISAT|Indosat
ISEA,BUDIDAYA,ISEA|Indo American|Indo American Seafoods
ISSP,LOGAM,ISSP|Steel Pipe|Steel Pipe Industry Of Indonesia
ITIC,ROKOK,ITIC|Indonesian Rokok
ITMA,TAMBANG,ITMA|Sumber Energi|Sumber Energi Andalan
ITMG,BATUBARA,ITMG|Indo Tambangraya|Indo Tambangraya Megah
JARR,PANGAN,JARR|Jhonlin Agro|Jhonlin Agro Raya
JAST,TELEKOMUNIKASI,JAST|Jasnita Telekomindo
JATI,SOFTWARE,JATI|Informasi Teknologi|Informasi Teknologi Indonesia
JAWA,PANGAN,JAWA|Jaya Agra|Jaya Agra Wattie
JAYA,LOGISTIK,JAYA|Armada Berjaya|Armada Berjaya Trans
JECC,KABEL,JECC|Jembo Cable|Jembo Cable Company
JGLE,REKREASI,JGLE|Graha Andrasentra|Graha Andrasentra Propertindo
JIHD,HOTEL,JIHD|Jakarta International|Jakarta International Hotls & Dev
JKON,KONSTRUKSI,JKON|Jaya Konstruksi|Jaya Konstruksi Manggala Pratama
JKSW,MATERIAL,JKSW|Jakarta Kyoei|Jakarta Kyoei Steel Works
JMAS,ASURANSI,JMAS|Asuransi Jiwa|Asuransi Jiwa Syariah Js Mtr Abd
JPFA,BUDIDAYA,JPFA|Japfa Comfeed|Japfa Comfeed Indonesia
JRPT,REALESTATE,JRPT|Jaya Real|Jaya Real Property
JSKY,LISTRIK,JSKY|Sky Energi|Sky Energi Indonesia
JSMR,JALANTOL,JSMR|Jasa Marga
JSPT,HOTEL,JSPT|Jakarta Setiabudi|Jakarta Setiabudi Internasional
JTPE,PERCETAKAN,JTPE|Jasuindo Tiga|Jasuindo Tiga Perkasa
KAEF,FARMASI,KAEF|Kimia Farma
KAQI,OTOMOTIF,KAQI|Jantra Grupo|Jantra Grupo Indonesia
KARW,PELABUHAN,KARW|Ictsi Jasa|Ictsi Jasa Prima
KAYU,KAYU,KAYU|Darmi Bersaudara
KBAG,REALESTATE,KBAG|Karya Bersama|Karya Bersama Anugerah
KBLI,KABEL,KBLI|Kmi Wire|Kmi Wire And Cable
KBLM,KABEL,KBLM|Kabelindo Murni
KBLV,TELEKOMUNIKASI,KBLV|First Media
KBRI,KERTAS,KBRI|Kertas Basuki|Kertas Basuki Rachmat Indonesia
KDSI,PLASTIK,KDSI|Kedawung Setia|Kedawung Setia Industrial
KDTN,HOTEL,KDTN|Puri Sentul|Puri Sentul Permai
KEEN,LISTRIK,KEEN|Kencana Energi|Kencana Energi Lestari
KEJU,SUSU,KEJU|Mulia Boga|Mulia Boga Raya
KETR,TELEKOMUNIKASI,KETR|Ketrosden Triasmitra
KIAS,BANGUNAN,KIAS|Keramika Indonesia|Keramika Indonesia Assosiasi
KICI,RUMAHTANGGA,KICI|Kedaung Indah|Kedaung Indah Can
KIJA,REALESTATE,KIJA|Kawasan Industri|Kawasan Industri Jababeka
KING,LINGKUNGAN,KING|Hoffmen Cleanindo
KINO,PERAWATAN,KINO|Kino Indonesia
KIOS,INTERNET,KIOS|Kioson Komersial|Kioson Komersial Indonesia
KJEN,LOGISTIK,KJEN|Krida Jaringan|Krida Jaringan Nusantara
KKES,KIMIA,KKES|Kusuma Kemindo|Kusuma Kemindo Sentosa
KKGI,BATUBARA,KKGI|Resource Alam|Resource Alam Indonesia
KLAS,LOGISTIK,KLAS|Pelayaran Kurnia|Pelayaran Kurnia Lautan Semesta
KLBF,FARMASI,KLBF|Kalbe Farma
KLIN,RUMAHTANGGA,KLIN|Klinko Karya|Klinko Karya Imaji
KMDS,MAKANAN,KMDS|Kurniamitra Duta|Kurniamitra Duta Sentosa
KMTR,HUTAN,KMTR|Kirana Megatara
KOBX,MESINKONSTRUKSI,KOBX|Kobexindo Tractors
KOCI,REALESTATE,KOCI|Kokoh Exa|Kokoh Exa Nusantara
KOIN,BANGUNAN,KOIN|Kokoh Inti|Kokoh Inti Arebama
KOKA,KONSTRUKSI,KOKA|Koka Indonesia
KONI,KANTORAN,KONI|Perdana Bangun|Perdana Bangun Pusaka
KOPI,TAMBANG,KOPI|Mitra Energi|Mitra Energi Persada
KOTA,REALESTATE,KOTA|Dms Propertindo
KPAL,MESINKONSTRUKSI,KPAL|Steadfast Marine
KPAS,PERAWATAN,KPAS|Cottonindo Ariesta
KPIG,HOTEL,KPIG|Mnc Land
KRAH,MESIN,KRAH|Grand Kartech
KRAS,LOGAM,KRAS|Krakatau Steel
KREN,INTERNET,KREN|Kresna Graha|Kresna Graha Investama
KRYA,KONSTRUKSI,KRYA|Bangun Karya|Bangun Karya Perkasa Jaya
KSIX,REALESTATE,KSIX|Kentanix Supra|Kentanix Supra International T
KUAS,BANGUNAN,KUAS|Ace Oldfields
LABA,MESIN,LABA|Ladang Baja|Ladang Baja Murni
LABS,ALATKESEHATAN,LABS|Ubc Medical|Ubc Medical Indonesia
LAJU,LOGISTIK,LAJU|Jasa Berdikari|Jasa Berdikari Logistics
LAND,REALESTATE,LAND|Trimitra Propertindo
LAPD,LISTRIK,LAPD|Leyand International
LCGP,REALESTATE,LCGP|Eureka Prima|Eureka Prima Jakarta
LCKM,TELEKOMUNIKASI,LCKM|Lck Global|Lck Global Kedaton
LEAD,TAMBANG,LEAD|Logindo Samudramakmur
LFLO,FURNITUR,LFLO|Imago Mulia|Imago Mulia Persada
LIFE,ASURANSI,LIFE|Asuransi Jiwa|Asuransi Jiwa Sinarmas Msig
LINK,TELEKOMUNIKASI,LINK|Link Net
LION,KANTORAN,LION|Lion Metal|Lion Metal Works
LIVE,RUMAHTANGGA,LIVE|Homeco Victoria|Homeco Victoria Makmur
LMAS,TEKNOLOGI,LMAS|Limas Indonesia|Limas Indonesia Makmur
LMAX,OTOMOTIF,LMAX|Lupromax Pelumas|Lupromax Pelumas Indonesia
LMPI,RUMAHTANGGA,LMPI|Langgeng Makmur|Langgeng Makmur Industri
LMSH,LOGAM,LMSH|Lionmesh Prima
LOPI,LOGISTIK,LOPI|Logisticsplus International
LPCK,REALESTATE,LPCK|Lippo Cikarang
LPGI,ASURANSI,LPGI|Lippo Asuransi|Lippo Asuransi Umum
LPIN,OTOMOTIF,LPIN|Multi Prima|Multi Prima Sejahtera
LPKR,REALESTATE,LPKR|Lippo Karawaci
LPLI,REALESTATE,LPLI|Star Pacific
LPPF,STORE,LPPF|Matahari Department|Matahari Department Store
LPPS,INVESTASI,LPPS|Lenox Pasifik|Lenox Pasifik Investama
LRNA,TRANSPORTASI,LRNA|Eka Sari|Eka Sari Lorena Transport
LSIP,PANGAN,LSIP|Perusahaan Prkbn|Perusahaan Prkbn Lndn Smtr Indnsa
LTLS,KIMIA,LTLS|Lautan Luas
LUCK,KOMPUTER,LUCK|Sentral Mitra|Sentral Mitra Informatika
LUCY,RUMAHMAKAN,LUCY|Lima Dua|Lima Dua Lima Tiga
MABA,HOTEL,MABA|Marga Abhinaya|Marga Abhinaya Abadi
MAGP,PANGAN,MAGP|Multi Agro|Multi Agro Gemilang Plantation
MAHA,BATUBARA,MAHA|Mandiri Herindo|Mandiri Herindo Adiperkasa
MAIN,BUDIDAYA,MAIN|Malindo Feedmill
MAMI,HOTEL,MAMI|Mas Murni|Mas Murni Indonesia
MANG,KONSTRUKSI,MANG|Manggung Polahraya
MAPA,TEKSTIL,MAPA|Map Aktif|Map Aktif Adiperkasa
MAPB,RUMAHMAKAN,MAPB|Map Boga|Map Boga Adiperkasa
MAPI,TEKSTIL,MAPI|Mitra Adiperkasa
MARI,PENYIARAN,MARI|Mahaka Radio|Mahaka Radio Integra
MARK,MESIN,MARK|Mark Dynamics|Mark Dynamics Indonesia
MASA,BAN,MASA|Multistrada Arah|Multistrada Arah Sarana
MASB,BANK,MASB|Bank Multiarta|Bank Multiarta Sentosa
MAXI,MAKANAN,MAXI|Maxindo Karya|Maxindo Karya Anugerah
MAYA,BANK,MAYA|Bank Mayapada|Bank Mayapada Internasional
MBAP,BATUBARA,MBAP|Mitrabara Adiperdana
MBMA,TAMBANG,MBMA|Merdeka Battery|Merdeka Battery Materials
MBSS,BATUBARA,MBSS|Mitrabahtera Segara|Mitrabahtera Segara Sejati
MBTO,PERAWATAN,MBTO|Martina Berto
MCAS,INTERNET,MCAS|M Cash|M Cash Integrasi
MCOL,BATUBARA,MCOL|Prima Andalan|Prima Andalan Mandiri
MCOR,BANK,MCOR|Bank China|Bank China Construction Bk Indosi Tk
MDIA,PENYIARAN,MDIA|Intermedia Capital
MDIY,RUMAHTANGGA,MDIY|Daya Intiguna|Daya Intiguna Yasa
MDKA,EMAS,MDKA|Merdeka Copper|Merdeka Copper Gold
MDKI,KIMIA,MDKI|Emdeki Utama
MDLA,FARMASI,MDLA|Medela Potentia
MDLN,REALESTATE,MDLN|Modernland Realty
MDRN,KANTORAN,MDRN|Modern Internasional
MEDC,TAMBANG,MEDC|Medco Energi|Medco Energi Internasional
MEDS,ALATKESEHATAN,MEDS|Hetzer Medical|Hetzer Medical Indonesia
MEGA,BANK,MEGA|Bank Mega
MEJA,FURNITUR,MEJA|Harta Djaya|Harta Djaya Karya
MENN,ELEKTRONIK,MENN|Menn Teknologi|Menn Teknologi Indonesia
MERI,BIMBEL,MERI|Merry Riana|Merry Riana Edukasi
MERK,FARMASI,MERK|Merck
META,JALANTOL,META|Nusantara Infrastructure
MFIN,PEMBIAYAAN,MFIN|Mandala Multifinance
MFMI,KONSULTASI,MFMI|Multifiling Mitra|Multifiling Mitra Indonesia
MGLV,FURNITUR,MGLV|Panca Anugrah|Panca Anugrah Wisesa
MGNA,INVESTASI,MGNA|Magna Investama|Magna Investama Mandiri
MGRO,PANGAN,MGRO|Mahkota Group
MHKI,LINGKUNGAN,MHKI|Multi-Hanna Kreasindo
MICE,RUMAHTANGGA,MICE|Multi Indocitra
MIDI,SUPERMARKET,MIDI|Midi Utama|Midi Utama Indonesia
MIKA,KESEHATAN,MIKA|Mitra Keluarga|Mitra Keluarga Karyasehat
MINA,HOTEL,MINA|Sanurhasta Mitra
MINE,TAMBANG,MINE|Sinar Terang|Sinar Terang Mandiri
MIRA,LOGISTIK,MIRA|Mitra International|Mitra International Resources
MITI,TAMBANG,MITI|Mitra Investindo
MKAP,TAMBANG,MKAP|Multikarya Asia|Multikarya Asia Pasifik Raya T
MKNT,ELEKTRONIK,MKNT|Mitra Komunikasi|Mitra Komunikasi Nusantara
MKPI,REALESTATE,MKPI|Metropolitan Kentjana
MKTR,PANGAN,MKTR|Menthobi Karyatama|Menthobi Karyatama Raya
MLBI,BEER,MLBI|Multi Bintang|Multi Bintang Indonesia
MLIA,BANGUNAN,MLIA|Mulia Industrindo
MLPL,MULTISEKTOR,MLPL|Multipolar
MLPT,TEKNOLOGI,MLPT|Multipolar Teknologi
MMIX,PERAWATAN,MMIX|Multi Medika|Multi Medika Internasional
MMLP,REALESTATE,MMLP|Mega Manunggal|Mega Manunggal Property
MNCN,PENYIARAN,MNCN|Media Nusantara|Media Nusantara Citra
MOLI,KIMIA,MOLI|Madusari Murni|Madusari Murni Indah
MORA,TELEKOMUNIKASI,MORA|Mora Telematika|Mora Telematika Indonesia
MPIX,INTERNET,MPIX|Mitra Pedagang|Mitra Pedagang Indonesia
MPMX,OTOMOTIF,MPMX|Mitra Pinasthika|Mitra Pinasthika Mustika
MPOW,LISTRIK,MPOW|Megapower Makmur
MPPA,SUPERMARKET,MPPA|Matahari Putra|Matahari Putra Prima
MPRO,REALESTATE,MPRO|Maha Properti|Maha Properti Indonesia
MPXL,LOGISTIK,MPXL|Mpx Logistics|Mpx Logistics International
MRAT,PERAWATAN,MRAT|Mustika Ratu
MREI,ASURANSI,MREI|Maskapai Reasuransi|Maskapai Reasuransi Indonesia
MSIE,REALESTATE,MSIE|Multisarana Intan|Multisarana Intan Eduka
MSIN,FILM,MSIN|Mnc Digital|Mnc Digital Entertainment
MSJA,PERAWATAN,MSJA|Multi Spunindo|Multi Spunindo Jaya
MSKY,PENYIARAN,MSKY|Mnc Sky|Mnc Sky Vision
MSTI,TEKNOLOGI,MSTI|Mastersystem Infotama
MTDL,KOMPUTER,MTDL|Metrodata Electronics
MTEL,TELEKOMUNIKASI,MTEL|Dayamitra Telekomunikasi
MTFN,TAMBANG,MTFN|Capitalinc Investment
MTLA,REALESTATE,MTLA|Metropolitan Land
MTMH,KESEHATAN,MTMH|Murni Sadar
MTPS,KONSTRUKSI,MTPS|Meta Epsi
MTRA,KONSTRUKSI,MTRA|Mitra Pemuda
MTSM,REALESTATE,MTSM|Metro Realty
MTWI,ASURANSI,MTWI|Malacca Trust|Malacca Trust Wwngn Insrnc
MUTU,KONSULTASI,MUTU|Mutuagung Lestari
MYOH,TAMBANG,MYOH|Samindo Resources
MYOR,MAKANAN,MYOR|Mayora Indah
MYRX,REALESTATE,MYRX|Hanson International
MYTX,TEKSTIL,MYTX|Asia Pacific|Asia Pacific Investama
NAIK,ALATKEBAKARAN,NAIK|Adiwarna Anugerah|Adiwarna Anugerah Abadi
NANO,PERAWATAN,NANO|Nanotech Indonesia|Nanotech Indonesia Global
NASA,HOTEL,NASA|Andalan Perkasa|Andalan Perkasa Abadi
NASI,MAKANAN,NASI|Wahana Inti|Wahana Inti Makmurtbk
NATO,HOTEL,NATO|Surya Permata|Surya Permata Andalan
NAYZ,MAKANAN,NAYZ|Hassana Boga|Hassana Boga Sejahtera
NCKL,TAMBANG,NCKL|Trimegah Bangun|Trimegah Bangun Persada
NELY,LOGISTIK,NELY|Pelayaran Nelly|Pelayaran Nelly Dwi Putri
NEST,BUDIDAYA,NEST|Esta Indonesia
NETV,PENYIARAN,NETV|Net Visi|Net Visi Media
NFCX,INTERNET,NFCX|Nfc Indonesia
NICE,TAMBANG,NICE|Adhi Kartiko|Adhi Kartiko Pratama
NICK,INVESTASI,NICK|Charnic Capital
NICL,TAMBANG,NICL|Pam Mineral
NIKL,TAMBANG,NIKL|Pelat Timah|Pelat Timah Nusantara
NINE,TEKNOLOGI,NINE|Techno9 Indonesia
NIPS,OTOMOTIF,NIPS|Nipress
NIRO,REALESTATE,NIRO|City Retail|City Retail Developments
NISP,BANK,NISP|Bank Ocbc|Bank Ocbc Nisp
NOBU,BANK,NOBU|Bank Nationalnobu
NPGF,KIMIA,NPGF|Nusa Palapa|Nusa Palapa Gemilang
NRCA,KONSTRUKSI,NRCA|Nusa Raya|Nusa Raya Cipta
NSSS,PANGAN,NSSS|Nusantara Sawit|Nusantara Sawit Sejahtera
NTBK,MESINKONSTRUKSI,NTBK|Nusatama Berkah
NUSA,HOTEL,NUSA|Sinergi Megah|Sinergi Megah Internusa
NZIA,REALESTATE,NZIA|Nusantara Almazia
OASA,TELEKOMUNIKASI,OASA|Protech Mitra|Protech Mitra Perkasa
OBAT,FARMASI,OBAT|Brigit Biofarmaka|Brigit Biofarmaka Teknologi Tb
OBMD,KIMIA,OBMD|Obm Drilchem
OCAP,INVESTASI,OCAP|Onix Capital
OILS,PANGAN,OILS|Indo Oil|Indo Oil Perkasa
OKAS,KIMIA,OKAS|Ancora Indonesia|Ancora Indonesia Resources
OLIV,FURNITUR,OLIV|Oscar Mitra|Oscar Mitra Sukses Sejahtera
OMED,ALATKESEHATAN,OMED|Jayamas Medica|Jayamas Medica Industri
OMRE,REALESTATE,OMRE|Indonesia Prima|Indonesia Prima Property
OPMS,LOGAM,OPMS|Optima Prima|Optima Prima Metal Sinergi
PACK,PERCETAKAN,PACK|Solusi Kemasan|Solusi Kemasan Digital
PADA,LINGKUNGAN,PADA|Personel Alih|Personel Alih Daya
PADI,INVESTASI,PADI|Minna Padi|Minna Padi Investama Sekuritas
PALM,PANGAN,PALM|Provident Agro
PAMG,REALESTATE,PAMG|Bima Sakti|Bima Sakti Pertiwi
PANI,MAKANAN,PANI|Pantai Indah|Pantai Indah Kapuk Dua
PANR,TRAVEL,PANR|Panorama Sentrawisata
PANS,INVESTASI,PANS|Panin Sekuritas
PART,OTOMOTIF,PART|Cipta Perdana|Cipta Perdana Lancar
PBID,PLASTIK,PBID|Panca Budi|Panca Budi Idaman
PBRX,PAKAIAN,PBRX|Pan Brothers
PBSA,KONSTRUKSI,PBSA|Paramita Bangun|Paramita Bangun Sarana
PCAR,MAKANAN,PCAR|Prima Cakrawala|Prima Cakrawala Abadi
PDES,TRAVEL,PDES|Destinasi Tirta|Destinasi Tirta Nusantara
PDPP,PLASTIK,PDPP|Primadaya Plastisindo
PEGE,INVESTASI,PEGE|Panca Global|Panca Global Kapital
PEHA,FARMASI,PEHA|Phapros
PEVE,FARMASI,PEVE|Penta Valent
PGAS,TAMBANG,PGAS|Perusahaan Gas|Perusahaan Gas Negara
PGEO,LISTRIK,PGEO|Pertamina Geothermal|Pertamina Geothermal Energi
PGJO,INTERNET,PGJO|Tourindo Guide|Tourindo Guide Indonesia
PGLI,HOTEL,PGLI|Pembangunan Graha|Pembangunan Graha Lestari Indah
PGUN,PANGAN,PGUN|Pradiksi Gunatama
PICO,PLASTIK,PICO|Pelangi Indah|Pelangi Indah Canindo
PIPA,BANGUNAN,PIPA|Multi Makmur|Multi Makmur Lemindo
PJAA,REKREASI,PJAA|Pembangunan Jaya|Pembangunan Jaya Ancol
PJHB,LOGISTIK,PJHB|Pelayaran Jaya|Pelayaran Jaya Hidup Baru
PKPK,TAMBANG,PKPK|Perdana Karya|Perdana Karya Perkasa
PLAN,HOTEL,PLAN|Planet Properindo|Planet Properindo Jaya
PLAS,INVESTASI,PLAS|Polaris Investama
PLIN,REALESTATE,PLIN|Plaza Indonesia|Plaza Indonesia Realty
PMJS,OTOMOTIF,PMJS|Putra Mandiri|Putra Mandiri Jembar
PMMP,MAKANAN,PMMP|Panca Mitra|Panca Mitra Multiperdana
PMUI,TELEKOMUNIKASI,PMUI|Prima Multi|Prima Multi Usaha Indonesia Tb
PNBN,BANK,PNBN|Bank Pan|Bank Pan Indonesia
PNBS,BANK,PNBS|Bank Panin|Bank Panin Dubai Syariah
PNGO,HUTAN,PNGO|Pinago Utama
PNIN,ASURANSI,PNIN|Paninvest
PNLF,ASURANSI,PNLF|Panin Financial
PNSE,HOTEL,PNSE|Pudjiadi And|Pudjiadi And Sons
POLA,PEMBIAYAAN,POLA|Pool Advista|Pool Advista Finance
POLI,REALESTATE,POLI|Pollux Hotels|Pollux Hotels Group
POLL,REALESTATE,POLL|Pollux Properties|Pollux Properties Indonesia
POLU,PAKAIAN,POLU|Golden Flower
POLY,TEKSTIL,POLY|Asia Pacific|Asia Pacific Fibers
POOL,INVESTASI,POOL|Pool Advista|Pool Advista Indonesia
PORT,PELABUHAN,PORT|Nusantara Pelabuhan|Nusantara Pelabuhan Handal
POSA,REALESTATE,POSA|Bliss Properti|Bliss Properti Indonesia
POWR,LISTRIK,POWR|Cikarang Listrindo
PPGL,LOGISTIK,PPGL|Prima Globalindo|Prima Globalindo Logistik
PPRE,KONSTRUKSI,PPRE|Pp Presisi
PPRI,PLASTIK,PPRI|Paperocks Indonesia
PPRO,REALESTATE,PPRO|Pp Properti
PRAS,OTOMOTIF,PRAS|Prima Alloy|Prima Alloy Steel Universal
PRAY,KESEHATAN,PRAY|Famon Awal|Famon Awal Bros Sedaya
PRDA,KESEHATAN,PRDA|Prodia Widyahusada
PRIM,KESEHATAN,PRIM|Royal Prima
PSAB,EMAS,PSAB|J Resources|J Resources Asia Pasifik
PSAT,BATUBARA,PSAT|Pancaran Samudera|Pancaran Samudera Transport Tb
PSDN,MAKANAN,PSDN|Prasidha Aneka|Prasidha Aneka Niaga
PSGO,PANGAN,PSGO|Palma Serasih
PSKT,HOTEL,PSKT|Red Planet|Red Planet Indonesia
PSSI,BATUBARA,PSSI|Pelita Samudera|Pelita Samudera Shipping
PTBA,BATUBARA,PTBA|Bukit Asam
PTDU,KONSTRUKSI,PTDU|Djasa Ubersakti
PTIS,BATUBARA,PTIS|Indo Straits
PTMP,MESIN,PTMP|Mitra Pack
PTMR,PLASTIK,PTMR|Master Print
PTPP,KONSTRUKSI,PTPP|Pembangunan Perumahan
PTPS,PANGAN,PTPS|Pulau Subur
PTPW,KONSTRUKSI,PTPW|Pratama Widya
PTRO,TAMBANG,PTRO|Petrosea
PTSN,ELEKTRONIK,PTSN|Sat Nusapersada
PTSP,RUMAHMAKAN,PTSP|Pioneerindo Gourmet|Pioneerindo Gourmet International
PUDP,REALESTATE,PUDP|Pudjiadi Prestige
PURA,LOGISTIK,PURA|Putra Rajawali|Putra Rajawali Kencana
PURE,TAMBANG,PURE|Trinitan Metals|Trinitan Metals And Minerals
PURI,REALESTATE,PURI|Puri Global|Puri Global Sukses
PWON,REALESTATE,PWON|Pakuwon Jati
PYFA,FARMASI,PYFA|Pyridam Farma
PZZA,RUMAHMAKAN,PZZA|Sarimelati Kencana
RAAM,FILM,RAAM|Tripar Multivision|Tripar Multivision Plus
RAFI,MAKANAN,RAFI|Sari Kreasi|Sari Kreasi Boga
RAJA,TAMBANG,RAJA|Rukun Raharja
RALS,STORE,RALS|Ramayana Lestari|Ramayana Lestari Sentosa
RANC,SUPERMARKET,RANC|Supra Boga|Supra Boga Lestari
RATU,TAMBANG,RATU|Raharja Energi|Raharja Energi Cepu
RBMS,REALESTATE,RBMS|Ristia Bintang|Ristia Bintang Mahkotasejati
RCCC,LOGISTIK,RCCC|Utama Radar|Utama Radar Cahaya
RDTX,REALESTATE,RDTX|Roda Vivatex
REAL,REALESTATE,REAL|Repower Asia|Repower Asia Indonesia
RELF,REALESTATE,RELF|Graha Mitra|Graha Mitra Asia
RELI,INVESTASI,RELI|Reliance Sekuritas|Reliance Sekuritas Indonesia
RGAS,TAMBANG,RGAS|Kian Santang|Kian Santang Muliatama
RICY,PAKAIAN,RICY|Ricky Putra|Ricky Putra Globalindo
RIGS,BATUBARA,RIGS|Rig Tenders|Rig Tenders Indonesia
RIMO,REALESTATE,RIMO|Rimo International|Rimo International Lestari
RISE,HOTEL,RISE|Jaya Sukses|Jaya Sukses Makmur Sentosa
RLCO,BUDIDAYA,RLCO|Abadi Lestari|Abadi Lestari Indonesia
RMKE,BATUBARA,RMKE|Rmk Energi
RMKO,TAMBANG,RMKO|Royaltama Mulia|Royaltama Mulia Kontraktorindo
ROCK,REALESTATE,ROCK|Rockfields Property|Rockfields Property Indonesia
RODA,REALESTATE,RODA|Pikko Land|Pikko Land Development
RONY,KONSTRUKSI,RONY|Aesler Grup|Aesler Grup Internasional
ROTI,MAKANAN,ROTI|Nippon Indosari|Nippon Indosari Corpindo
RSCH,KESEHATAN,RSCH|Charlie Hospital|Charlie Hospital Semarang
RSGK,KESEHATAN,RSGK|Kedoya Adyaraya
RUIS,TAMBANG,RUIS|Radiant Utama|Radiant Utama Interinsco
RUNS,SOFTWARE,RUNS|Global Sukses|Global Sukses Solusi
SAFE,TRANSPORTASI,SAFE|Steady Safe
SAGE,REALESTATE,SAGE|Saptausaha Gemilangindah
SAME,KESEHATAN,SAME|Sarana Meditama|Sarana Meditama Metropolitan
SAMF,KIMIA,SAMF|Saraswanti Anugerah|Saraswanti Anugerah Makmur
SAPX,LOGISTIK,SAPX|Satria Antaran|Satria Antaran Prima
SATU,REALESTATE,SATU|Kota Satu|Kota Satu Properti
SBAT,TEKSTIL,SBAT|Sejahtera Bintang|Sejahtera Bintang Abadi Textile
SBMA,KIMIA,SBMA|Surya Biru|Surya Biru Murni Acetylene
SCCO,KABEL,SCCO|Supreme Cable|Supreme Cable Mnfctrg & Commerce
SCMA,PENYIARAN,SCMA|Surya Citra|Surya Citra Media
SCNP,RUMAHTANGGA,SCNP|Selaras Citra|Selaras Citra Nusantara Perkasa
SCPI,FARMASI,SCPI|Organon Pharma|Organon Pharma Indonesia
SDMU,LOGISTIK,SDMU|Sidomulyo Selaras
SDPC,OBAT,SDPC|Millennium Pharmacon|Millennium Pharmacon Internationl
SDRA,BANK,SDRA|Bank Woori|Bank Woori Saudara Indonesia 1906
SEMA,LISTRIK,SEMA|Semacom Integrated
SFAN,INVESTASI,SFAN|Surya Fajar|Surya Fajar Capital
SGER,BATUBARA,SGER|Sumber Global|Sumber Global Energi
SGRO,PANGAN,SGRO|Sampoerna Agro
SHID,HOTEL,SHID|Hotel Sahid|Hotel Sahid Jaya International
SHIP,TAMBANG,SHIP|Sillo Maritime|Sillo Maritime Perdana
SICO,TAMBANG,SICO|Sigma Energi|Sigma Energi Compressindo
SIDO,FARMASI,SIDO|Industri Jamu|Industri Jamu Dan Farmasi Sd Mncl
SILO,KESEHATAN,SILO|Siloam International|Siloam International Hospitals
SIMA,PLASTIK,SIMA|Siwani Makmur
SIMP,PANGAN,SIMP|Salim Ivomas|Salim Ivomas Pratama
SINI,BANGUNAN,SINI|Singaraja Putra
SIPD,BUDIDAYA,SIPD|Sreeya Sewu|Sreeya Sewu Indonesia
